iter	Passed	Remaining
437	1318	3197
438	1321	3193
439	1324	3190
440	1327	3186
441	1330	3183
442	1332	3179
443	1335	3176
444	1338	3173
445	1341	3170
446	1344	3166
447	1347	3163
448	1349	3159
449	1352	3154
450	1354	3151
451	1357	3147
452	1359	3143
453	1362	3139
454	1365	3136
455	1368	3132
456	1370	3128
457	1373	3125
458	1376	3122
459	1379	3119
460	1382	3115
461	1385	3112
462	1387	3108
463	1390	3105
464	1393	3102
465	1396	3098
466	1399	3094
467	1401	3091
468	1404	3088
469	1407	3084
470	1410	3081
471	1412	3077
472	1415	3074
473	1418	3070
474	1421	3067
475	1424	3063
476	1426	3060
477	1429	3056
478	1432	3053
479	1435	3050
480	1438	3046
481	1440	3043
482	1443	3039
483	1446	3036
484	1449	3033
485	1452	3029
486	1455	3026
487	1458	3023
488	1460	3020
489	1463	3016
490	1466	3013
491	1469	3010
492	1471	3006
493	1474	3003
494	1477	2999
495	1480	2996
496	1482	2992
497	1485	2989
498	1488	2985
499	1491	2982
500	1493	2978
501	1496	2975
502	1499	2972
503	1502	2969
504	1505	2965
505	1507	2962
506	1510	2958
507	1513	2955
508	1516	2952
509	1519	2949
510	1522	2945
511	1524	2942
512	1527	2939
513	1530	2936
514	1533	2932
515	1536	2929
516	1538	2925
517	1541	2922
518	1544	2918
519	1546	2915
520	1549	2911
521	1552	2908
522	1555	2904
523	1557	2901
524	1560	2898
525	1563	2894
526	1566	2891
527	1568	2888
528	1571	2884
529	1574	2880
530	1576	2877
531	1579	2873
532	1582	2870
533	1584	2866
534	1587	2863
535	1590	2860
536	1592	2856
537	1595	2852
538	1597	2848
539	1600	2844
540	1602	2840
541	1605	2837
542	1607	2833
543	1610	2830
544	1612	2826
545	1615	2822
546	1618	2819
547	1621	2816
548	1623	2812
549	1626	2809
550	1628	2805
551	1631	2802
552	1634	2799
553	1637	2796
554	1640	2792
555	1642	2789
556	1645	2786
557	1648	2782
558	1650	2779
559	1653	2776
560	1656	2773
561	1659	2769
562	1662	2766
563	1665	2763
564	1667	2759
565	1670	2757
566	1673	2753
567	1676	2750
568	1679	2747
569	1681	2744
570	1684	2741
571	1687	2737
572	1690	2734
573	1693	2731
574	1696	2729
575	1699	2725
576	1702	2722
577	1705	2719
578	1707	2716
579	1710	2713
580	1713	2710
581	1716	2707
582	1719	2704
583	1722	2701
584	1725	2698
585	1728	2695
586	1731	2692
587	1733	2689
588	1736	2686
589	1739	2682
590	1742	2679
591	1744	2676
592	1747	2673
593	1750	2669
594	1753	2666
595	1755	2663
596	1758	2659
597	1761	2656
598	1764	2653
599	1767	2650
600	1769	2647
601	1772	2644
602	1775	2640
603	1777	2636
604	1780	2633
605	1783	2630
606	1786	2627
607	1788	2624
608	1791	2621
609	1794	2618
610	1797	2615
611	1800	2612
612	1802	2608
613	1805	2605
614	1808	2602
615	1811	2599
616	1814	2596
617	1816	2593
618	1819	2590
619	1822	2587
620	1825	2584
621	1828	2581
622	1831	2577
623	1833	2574
624	1836	2571
625	1839	2568
626	1842	2565
627	1845	2562
628	1848	2559
629	1850	2556
630	1853	2552
631	1856	2549
632	1859	2546
633	1862	2543
634	1864	2540
635	1867	2537
636	1870	2534
637	1873	2531
638	1875	2527
639	1878	2524
640	1881	2521
641	1884	2518
642	1887	2515
643	1890	2512
644	1892	2508
645	1895	2505
646	1898	2502
647	1900	2499
648	1903	2496
649	1906	2493
650	1909	2490
651	1912	2487
652	1915	2484
653	1918	2481
654	1921	2478
655	1923	2474
656	1926	2471
657	1929	2468
658	1932	2465
659	1935	2462
660	1937	2459
661	1940	2456
662	1943	2453
663	1945	2450
664	1948	2447
665	1951	2444
666	1954	2441
667	1957	2438
668	1960	2435
669	1963	2431
670	1965	2428
671	1968	2425
672	1971	2422
673	1974	2419
674	1977	2416
675	1980	2413
676	1982	2410
677	1985	2407
678	1988	2404
679	1991	2400
680	1993	2397
681	1996	2394
682	1999	2391
683	2002	2388
684	2005	2385
685	2007	2382
686	2010	2379
687	2012	2375
688	2015	2372
689	2017	2368
690	2020	2365
691	2023	2362
692	2025	2359
693	2028	2355
694	2030	2352
695	2033	2349
696	2036	2345
697	2038	2342
698	2041	2339
699	2044	2336
700	2046	2333
701	2049	2330
702	2052	2326
703	2055	2323
704	2058	2321
705	2061	2317
706	2063	2314
707	2066	2311
708	2069	2308
709	2072	2305
710	2075	2302
711	2078	2299
712	2080	2296
713	2083	2293
714	2086	2290
715	2089	2287
716	2092	2284
717	2094	2281
718	2097	2278
719	2100	2275
720	2103	2272
721	2105	2269
722	2108	2266
723	2111	2263
724	2114	2260
725	2116	2256
726	2119	2253
727	2122	2250
728	2125	2247
729	2128	2244
730	2130	2241
731	2133	2238
732	2136	2235
733	2139	2232
734	2142	2229
735	2145	2226
736	2148	2223
737	2151	2221
738	2153	2218
739	2156	2214
740	2159	2211
741	2162	2208
742	2164	2205
743	2167	2202
744	2170	2199
745	2173	2196
746	2176	2193
747	2178	2190
748	2181	2187
749	2184	2184
750	2187	2181
751	2190	2178
752	2193	2175
753	2195	2172
754	2198	2169
755	2201	2166
756	2204	2163
757	2206	2160
758	2209	2157
759	2212	2154
760	2215	2151
761	2217	2148
762	2220	2145
763	2223	2142
764	2226	2139
765	2229	2136
766	2232	2133
767	2235	2130
768	2237	2127
769	2240	2124
770	2243	2121
771	2246	2118
772	2248	2115
773	2251	2112
774	2254	2109
775	2257	2106
776	2260	2103
777	2263	2100
778	2266	2097
779	2268	2094
780	2271	2091
781	2274	2088
782	2277	2085
783	2280	2082
784	2282	2079
785	2285	2076
786	2288	2073
787	2291	2070
788	2294	2067
789	2297	2064
790	2300	2062
791	2303	2058
792	2306	2056
793	2308	2053
794	2311	2049
795	2314	2046
796	2316	2043
797	2319	2040
798	2322	2037
799	2325	2034
800	2328	2032
801	2331	2029
802	2334	2026
803	2337	2023
804	2340	2020
805	2343	2017
806	2346	2014
807	2348	2011
808	2351	2008
809	2354	2005
810	2357	2002
811	2360	1999
812	2363	1996
813	2365	1993
814	2368	1990
815	2371	1987
816	2373	1984
817	2376	1981
818	2379	1978
819	2382	1975
820	2385	1972
821	2388	1969
822	2390	1966
823	2393	1963
824	2396	1960
825	2399	1957
826	2402	1955
827	2405	1952
828	2408	1949
829	2410	1946
830	2413	1942
831	2415	1939
832	2418	1936
833	2421	1933
834	2423	1930
835	2426	1927
836	2428	1924
837	2431	1920
838	2434	1917
839	2437	1915
840	2440	1912
841	2442	1908
842	2445	1905
843	2447	1902
844	2450	1899
845	2453	1896
846	2456	1893
847	2459	1890
848	2461	1887
849	2464	1884
850	2467	1882
851	2470	1878
852	2473	1875
853	2476	1873
854	2479	1870
855	2481	1867
856	2484	1864
857	2487	1861
858	2490	1858
859	2493	1855
860	2495	1852
861	2498	1849
862	2501	1846
863	2504	1843
864	2507	1840
865	2509	1837
866	2512	1834
867	2515	1831
868	2518	1828
869	2521	1825
870	2524	1823
871	2527	1820
872	2530	1817
873	2532	1814
874	2535	1811
875	2538	1808
876	2541	1805
877	2544	1802
878	2547	1799
879	2549	1796
880	2552	1793
881	2555	1790
882	2558	1787
883	2560	1784
884	2563	1781
885	2566	1778
886	2569	1775
887	2572	1772
888	2575	1769
889	2577	1766
890	2580	1763
891	2583	1761
892	2586	1758
893	2589	1755
894	2592	1752
895	2594	1749
896	2597	1746
897	2600	1743
898	2602	1740
899	2605	1737
900	2608	1734
901	2611	1731
902	2614	1728
903	2617	1725
904	2619	1722
905	2622	1719
906	2625	1716
907	2627	1713
908	2630	1710
909	2633	1707
910	2635	1704
911	2638	1701
912	2641	1698
913	2644	1695
914	2647	1692
915	2650	1689
916	2653	1686
917	2656	1683
918	2658	1680
919	2661	1678
920	2664	1674
921	2667	1672
922	2670	1669
923	2672	1666
924	2675	1663
925	2678	1660
926	2681	1657
927	2683	1654
928	2686	1651
929	2689	1648
930	2692	1645
931	2695	1642
932	2698	1639
933	2700	1636
934	2703	1633
935	2706	1630
936	2709	1628
937	2712	1625
938	2715	1622
939	2718	1619
940	2721	1616
941	2724	1613
942	2726	1610
943	2729	1607
944	2732	1604
945	2735	1601
946	2737	1598
947	2740	1595
948	2743	1593
949	2746	1590
950	2749	1587
951	2752	1584
952	2755	1581
953	2758	1578
954	2760	1575
955	2763	1572
956	2766	1569
957	2769	1566
958	2771	1563
959	2774	1560
960	2777	1557
961	2779	1554
962	2782	1551
963	2785	1548
964	2788	1545
965	2791	1542
966	2793	1539
967	2796	1537
968	2799	1534
969	2802	1531
970	2805	1528
971	2807	1525
972	2810	1522
973	2813	1519
974	2816	1516
975	2819	1513
976	2821	1510
977	2824	1507
978	2827	1504
979	2830	1501
980	2832	1498
981	2835	1495
982	2838	1493
983	2841	1490
984	2843	1486
985	2846	1483
986	2849	1480
987	2851	1477
988	2854	1474
989	2856	1471
990	2859	1468
991	2861	1465
992	2864	1462
993	2867	1459
994	2869	1456
995	2872	1453
996	2874	1450
997	2877	1447
998	2879	1444
999	2883	1441
1000	2885	1438
1001	2888	1435
1002	2891	1432
1003	2894	1429
1004	2896	1426
1005	2899	1424
1006	2902	1421
1007	2905	1418
1008	2908	1415
1009	2911	1412
1010	2914	1409
1011	2917	1406
1012	2919	1403
1013	2922	1400
1014	2925	1397
1015	2928	1395
1016	2931	1392
1017	2934	1389
1018	2936	1386
1019	2939	1383
1020	2942	1380
1021	2945	1377
1022	2948	1374
1023	2951	1371
1024	2954	1368
1025	2957	1366
1026	2959	1363
1027	2962	1360
1028	2965	1357
1029	2968	1354
1030	2970	1351
1031	2973	1348
1032	2976	1345
1033	2979	1342
1034	2982	1339
1035	2985	1336
1036	2988	1334
1037	2990	1331
1038	2993	1328
1039	2996	1325
1040	2999	1322
1041	3002	1319
1042	3005	1316
1043	3007	1313
1044	3010	1310
1045	3013	1308
1046	3016	1305
1047	3019	1302
1048	3022	1299
1049	3025	1296
1050	3028	1293
1051	3031	1290
1052	3034	1287
1053	3036	1285
1054	3039	1282
1055	3042	1279
1056	3045	1276
1057	3047	1273
1058	3051	1270
1059	3054	1267
1060	3056	1264
1061	3059	1261
1062	3062	1259
1063	3065	1256
1064	3068	1253
1065	3071	1250
1066	3074	1247
1067	3077	1244
1068	3080	1241
1069	3082	1238
1070	3085	1235
1071	3088	1233
1072	3091	1230
1073	3094	1227
1074	3097	1224
1075	3099	1221
1076	3102	1218
1077	3105	1215
1078	3108	1212
1079	3111	1209
1080	3113	1206
1081	3116	1204
1082	3119	1201
1083	3122	1198
1084	3125	1195
1085	3128	1192
1086	3130	1189
1087	3133	1186
1088	3136	1183
1089	3139	1180
1090	3142	1177
1091	3145	1175
1092	3148	1172
1093	3150	1169
1094	3153	1166
1095	3156	1163
1096	3159	1160
1097	3162	1157
1098	3165	1154
1099	3168	1152
1100	3170	1149
1101	3173	1146
1102	3176	1143
1103	3179	1140
1104	3182	1137
1105	3185	1134
1106	3188	1131
1107	3191	1128
1108	3193	1126
1109	3196	1123
1110	3199	1120
1111	3202	1117
1112	3205	1114
1113	3208	1111
1114	3211	1108
1115	3214	1105
1116	3217	1103
1117	3220	1100
1118	3222	1097
1119	3225	1094
1120	3228	1091
1121	3231	1088
1122	3234	1085
1123	3237	1082
1124	3240	1080
1125	3242	1077
1126	3245	1074
1127	3248	1071
1128	3251	1068
1129	3253	1065
1130	3256	1062
1131	3258	1059
1132	3261	1056
1133	3264	1053
1134	3267	1050
1135	3270	1047
1136	3272	1044
1137	3275	1041
1138	3277	1038
1139	3279	1035
1140	3282	1032
1141	3285	1029
1142	3288	1027
1143	3291	1024
1144	3294	1021
1145	3296	1018
1146	3299	1015
1147	3302	1012
1148	3305	1009
1149	3308	1006
1150	3310	1003
1151	3313	1000
1152	3316	998
1153	3319	995
1154	3322	992
1155	3324	989
1156	3327	986
1157	3330	983
1158	3333	980
1159	3336	977
1160	3339	974
1161	3341	972
1162	3344	969
1163	3347	966
1164	3350	963
1165	3353	960
1166	3356	957
1167	3358	954
1168	3361	951
1169	3364	948
1170	3367	946
1171	3369	943
1172	3372	940
1173	3375	937
1174	3378	934
1175	3381	931
1176	3383	928
1177	3386	925
1178	3389	922
1179	3392	920
1180	3395	917
1181	3398	914
1182	3401	911
1183	3403	908
1184	3406	905
1185	3409	902
1186	3412	899
1187	3415	896
1188	3418	894
1189	3421	891
1190	3423	888
1191	3426	885
1192	3429	882
1193	3432	879
1194	3435	876
1195	3437	873
1196	3440	870
1197	3443	868
1198	3446	865
1199	3449	862
1200	3452	859
1201	3454	856
1202	3457	853
1203	3460	850
1204	3463	847
1205	3466	844
1206	3468	842
1207	3471	839
1208	3474	836
1209	3477	833
1210	3480	830
1211	3483	827
1212	3486	824
1213	3488	821
1214	3491	819
1215	3494	816
1216	3497	813
1217	3500	810
1218	3502	807
1219	3505	804
1220	3508	801
1221	3511	798
1222	3514	796
1223	3517	793
1224	3520	790
1225	3523	787
1226	3526	784
1227	3528	781
1228	3531	778
1229	3534	775
1230	3537	772
1231	3540	770
1232	3542	767
1233	3545	764
1234	3548	761
1235	3551	758
1236	3554	755
1237	3557	752
1238	3559	749
1239	3562	747
1240	3565	744
1241	3568	741
1242	3571	738
1243	3573	735
1244	3576	732
1245	3579	729
1246	3582	726
1247	3584	723
1248	3587	720
1249	3590	718
1250	3593	715
1251	3596	712
1252	3598	709
1253	3601	706
1254	3604	703
1255	3607	700
1256	3609	697
1257	3612	695
1258	3615	692
1259	3618	689
1260	3620	686
1261	3623	683
1262	3626	680
1263	3629	677
1264	3632	674
1265	3635	671
1266	3637	669
1267	3640	666
1268	3643	663
1269	3646	660
1270	3649	657
1271	3651	654
1272	3654	651
1273	3657	648
1274	3660	645
1275	3662	643
1276	3665	640
1277	3668	637
1278	3671	634
1279	3673	631
1280	3676	628
1281	3679	625
1282	3681	622
1283	3683	619
1284	3686	616
1285	3688	613
1286	3691	610
1287	3693	607
1288	3696	605
1289	3698	602
1290	3701	599
1291	3703	596
1292	3706	593
1293	3709	590
1294	3711	587
1295	3714	584
1296	3717	581
1297	3720	579
1298	3723	576
1299	3725	573
1300	3728	570
1301	3731	567
1302	3734	564
1303	3737	561
1304	3740	558
1305	3743	556
1306	3745	553
1307	3748	550
1308	3750	547
1309	3753	544
1310	3756	541
1311	3758	538
1312	3761	535
1313	3764	532
1314	3767	530
1315	3770	527
1316	3773	524
1317	3776	521
1318	3779	518
1319	3781	515
1320	3784	512
1321	3787	509
1322	3789	506
1323	3792	504
1324	3795	501
1325	3798	498
1326	3801	495
1327	3804	492
1328	3806	489
1329	3809	486
1330	3812	484
1331	3815	481
1332	3818	478
1333	3821	475
1334	3824	472
1335	3826	469
1336	3829	466
1337	3832	463
1338	3835	461
1339	3837	458
1340	3840	455
1341	3843	452
1342	3846	449
1343	3849	446
1344	3852	443
1345	3854	441
1346	3857	438
1347	3860	435
1348	3863	432
1349	3866	429
1350	3869	426
1351	3872	423
1352	3875	421
1353	3877	418
1354	3880	415
1355	3883	412
1356	3886	409
1357	3889	406
1358	3892	403
1359	3894	400
1360	3897	398
1361	3900	395
1362	3903	392
1363	3906	389
1364	3909	386
1365	3911	383
1366	3914	380
1367	3917	377
1368	3920	375
1369	3923	372
1370	3926	369
1371	3929	366
1372	3931	363
1373	3934	360
1374	3937	357
1375	3940	355
1376	3943	352
1377	3946	349
1378	3949	346
1379	3952	343
1380	3954	340
1381	3957	337
1382	3960	335
1383	3963	332
1384	3966	329
1385	3969	326
1386	3971	323
1387	3974	320
1388	3977	317
1389	3980	315
1390	3983	312
1391	3986	309
1392	3989	306
1393	3991	303
1394	3994	300
1395	3997	297
1396	4000	294
1397	4003	292
1398	4005	289
1399	4008	286
1400	4011	283
1401	4013	280
1402	4016	277
1403	4019	274
1404	4022	272
1405	4025	269
1406	4028	266
1407	4031	263
1408	4034	260
1409	4036	257
1410	4039	254
1411	4042	251
1412	4045	249
1413	4048	246
1414	4051	243
1415	4053	240
1416	4056	237
1417	4059	234
1418	4062	231
1419	4065	229
1420	4068	226
1421	4070	223
1422	4073	220
1423	4076	217
1424	4079	214
1425	4081	211
1426	4084	208
1427	4086	206
1428	4089	203
1429	4091	200
1430	4094	197
1431	4096	194
1432	4099	191
1433	4101	188
1434	4104	185
1435	4106	183
1436	4108	180
1437	4111	177
1438	4114	174
1439	4116	171
1440	4119	168
1441	4122	165
1442	4125	162
1443	4127	160
1444	4130	157
1445	4133	154
1446	4136	151
1447	4139	148
1448	4141	145
1449	4144	142
1450	4146	140
1451	4149	137
1452	4152	134
1453	4155	131
1454	4158	128
1455	4161	125
1456	4163	122
1457	4166	120
1458	4169	117
1459	4172	114
1460	4174	111
1461	4177	108
1462	4180	105
1463	4183	102
1464	4186	100
1465	4188	97
1466	4191	94
1467	4194	91
1468	4197	88
1469	4199	85
1470	4202	82
1471	4205	79
1472	4208	77
1473	4211	74
1474	4213	71
1475	4216	68
1476	4219	65
1477	4222	62
1478	4224	59
1479	4227	57
1480	4230	54
1481	4232	51
1482	4235	48
1483	4238	45
1484	4240	42
1485	4243	39
1486	4246	37
1487	4249	34
1488	4251	31
1489	4254	28
1490	4257	25
1491	4260	22
1492	4263	19
1493	4266	17
1494	4269	14
1495	4272	11
1496	4274	8
1497	4277	5
1498	4280	2
1499	4283	0
