iter	Quantile:alpha=0.5
164	1.552495467
165	1.55224897
166	1.552013241
167	1.551115508
168	1.550819846
169	1.550621157
170	1.550441091
171	1.549858789
172	1.54923949
173	1.548995128
174	1.548718484
175	1.548267238
176	1.547922079
177	1.54770753
178	1.547425121
179	1.547159262
180	1.546649117
181	1.546406287
182	1.545627712
183	1.545492036
184	1.545069117
185	1.544819773
186	1.544168831
187	1.543810754
188	1.543575572
189	1.543403854
190	1.542836158
191	1.54279226
192	1.542627114
193	1.542455865
194	1.542246691
195	1.542100595
196	1.541814631
197	1.541357818
198	1.541206915
199	1.540940951
200	1.540681399
201	1.540417192
202	1.539550183
203	1.539403468
204	1.539250927
205	1.538989734
206	1.538349554
207	1.538090937
208	1.537947619
209	1.53774337
210	1.536968479
211	1.536904645
212	1.536463801
213	1.536243505
214	1.536131107
215	1.536024838
216	1.535770095
217	1.535636223
218	1.535382721
219	1.535124079
220	1.53504322
221	1.534076041
222	1.533562303
223	1.533405437
224	1.532931526
225	1.532801961
226	1.532488396
227	1.532314404
228	1.532238811
229	1.531691967
230	1.531152479
231	1.531028488
232	1.530764189
233	1.530628906
234	1.530514009
235	1.530461408
236	1.530329041
237	1.530174283
238	1.529768465
239	1.529481135
240	1.529452785
241	1.528931201
242	1.528823354
243	1.528801612
244	1.528464196
245	1.527956146
246	1.527811907
247	1.527741964
248	1.527319845
249	1.526942556
250	1.526788647
251	1.526781155
252	1.526499208
253	1.526069011
254	1.525790729
255	1.525569541
256	1.525507643
257	1.524777227
258	1.524543791
259	1.524492316
260	1.524298601
261	1.523575593
262	1.523492196
263	1.523320785
264	1.523282863
265	1.523058098
266	1.52278332
267	1.52256974
268	1.522550905
269	1.522536464
270	1.522468613
271	1.522239662
272	1.52212544
273	1.522049512
274	1.521971001
275	1.520614058
276	1.520322443
277	1.520277482
278	1.520162055
279	1.519891397
280	1.519746071
281	1.519714486
282	1.519474381
283	1.519468191
284	1.519310238
285	1.519036685
286	1.518304442
287	1.517961596
288	1.517762803
289	1.517504852
290	1.517431067
291	1.517249249
292	1.51700986
293	1.516959467
294	1.516615711
295	1.516148014
296	1.515824016
297	1.515712772
298	1.515536105
299	1.515494253
300	1.515175917
301	1.514932709
302	1.514889997
303	1.514860042
304	1.514811427
305	1.514730879
306	1.514420105
307	1.51426918
308	1.513966189
309	1.513868685
310	1.513679715
311	1.513464771
312	1.513335635
313	1.513117801
314	1.513012591
315	1.512696735
316	1.512670309
317	1.511922359
318	1.5115066
319	1.511414013
320	1.511282133
321	1.511281012
322	1.511184134
323	1.511094943
324	1.511005118
325	1.510503383
326	1.510499799
327	1.510300333
328	1.510245051
329	1.510188303
330	1.510096744
331	1.50956039
332	1.50924063
333	1.509229498
334	1.509205525
335	1.509131435
336	1.509120613
337	1.509115144
338	1.508959621
339	1.508521937
340	1.508351024
341	1.507578506
342	1.507529918
343	1.506691484
344	1.506511913
345	1.506158093
346	1.505794641
347	1.505611947
348	1.50560484
349	1.505222411
350	1.504499539
351	1.504006178
352	1.50377271
353	1.503723086
354	1.503314747
355	1.5030999
356	1.503035068
357	1.502998144
358	1.502976082
359	1.502854975
360	1.502684534
361	1.50253229
362	1.502443263
363	1.502328072
364	1.502106732
365	1.501947221
366	1.501915524
367	1.501897183
368	1.501859646
369	1.501809331
370	1.501670408
371	1.501656104
372	1.501531289
373	1.501392037
374	1.501249864
375	1.500993653
376	1.500738141
377	1.50062899
378	1.500596526
379	1.500575589
380	1.500302746
381	1.500237413
382	1.500197034
383	1.500115669
384	1.500062748
385	1.50003803
386	1.499985737
387	1.499935406
388	1.499778686
389	1.499304121
390	1.49929826
391	1.499166202
392	1.49907514
393	1.498789842
394	1.498572558
395	1.498543968
396	1.498399662
397	1.49817707
398	1.497829306
399	1.49770256
400	1.497584525
401	1.497542295
402	1.497425369
403	1.497191321
404	1.497147073
405	1.497116868
406	1.497093692
407	1.496640115
408	1.496573695
409	1.496137367
410	1.496105756
411	1.496075628
412	1.495886877
413	1.495739211
414	1.495445538
415	1.495256282
416	1.495032247
417	1.494894346
418	1.494816413
419	1.494665048
420	1.494334027
421	1.494291184
422	1.493989713
423	1.493657678
424	1.493406327
425	1.493325019
426	1.492874396
427	1.492813739
428	1.492206458
429	1.491927931
430	1.49184495
431	1.491773897
432	1.491749479
433	1.491599583
434	1.491482105
435	1.491350528
436	1.490993336
437	1.490938328
438	1.490911476
439	1.490598997
440	1.490488451
441	1.49037328
442	1.490015626
443	1.489755692
444	1.48967377
445	1.48933444
446	1.48926263
447	1.489172008
448	1.489149752
449	1.489086956
450	1.489026479
451	1.489005833
452	1.488980656
453	1.488081182
454	1.487607048
455	1.487566779
456	1.487415082
457	1.487370265
458	1.487148923
459	1.486869757
460	1.486776163
461	1.486259088
462	1.486135381
463	1.485544433
464	1.485243543
465	1.485224239
466	1.485063553
467	1.485022792
468	1.484992225
469	1.484956358
470	1.484915622
471	1.484902524
472	1.484851294
473	1.484816121
474	1.484760835
475	1.48450145
476	1.484425073
477	1.484374467
478	1.484182613
479	1.484022237
480	1.483898434
481	1.483793513
482	1.483769496
483	1.483445731
484	1.483424342
485	1.483389669
486	1.483180389
487	1.483137956
488	1.482979877
489	1.482862293
490	1.482822854
491	1.482720333
492	1.482678754
493	1.482669752
494	1.482653887
495	1.482436186
496	1.482400286
497	1.482360806
498	1.482328958
499	1.482218395
500	1.482148955
501	1.482119896
502	1.482055812
503	1.4820381
504	1.482003224
505	1.481988845
506	1.481932048
507	1.4816239
508	1.481543075
509	1.481519302
510	1.481386095
511	1.48133833
512	1.481108795
513	1.481075619
514	1.481057336
515	1.48102387
516	1.480592902
517	1.480504009
518	1.480453869
519	1.480246941
520	1.480220651
521	1.480180381
522	1.480091528
523	1.479963956
524	1.479928307
525	1.479619837
526	1.479570507
527	1.479104473
528	1.47907385
529	1.479030528
530	1.478893305
531	1.478879378
532	1.478776653
533	1.478739029
534	1.478681886
535	1.478233523
536	1.477320975
537	1.47721487
538	1.476725399
539	1.476555683
540	1.476530663
541	1.475699177
542	1.475448246
543	1.475119874
544	1.475058251
545	1.474968984
546	1.474398112
547	1.474364629
548	1.473931063
549	1.4738734
550	1.473845664
551	1.47296453
552	1.472751306
553	1.472544028
554	1.472525156
555	1.47231306
556	1.472194166
557	1.472151326
558	1.471863265
559	1.471505234
560	1.471429939
561	1.471268573
562	1.471045184
563	1.471022486
564	1.470860691
565	1.470612244
566	1.470488128
567	1.470386732
568	1.470316256
569	1.470122493
570	1.469684888
571	1.469621662
572	1.469470909
573	1.469092285
574	1.468583952
575	1.468230524
576	1.468130308
577	1.4678446
578	1.467639403
579	1.467278804
580	1.466883316
581	1.466670209
582	1.466357415
583	1.466163662
584	1.465731236
585	1.465461598
586	1.465122451
587	1.464681006
588	1.464647073
589	1.464593223
590	1.464395675
591	1.464354075
592	1.464318901
593	1.464198782
594	1.464167615
595	1.464084407
596	1.463911437
597	1.463858562
598	1.463441958
599	1.463343365
600	1.463201821
601	1.463090597
602	1.462924784
603	1.462880452
604	1.462808576
605	1.462281512
606	1.462078997
607	1.462010493
608	1.461944618
609	1.461899363
610	1.461334187
611	1.460704998
612	1.460679379
613	1.46053673
614	1.460482805
615	1.460362266
616	1.460264108
617	1.460235795
618	1.460186287
619	1.460131002
620	1.459816529
621	1.459567674
622	1.459542834
623	1.459488648
624	1.459071479
625	1.458928995
626	1.45887376
627	1.458653125
628	1.45860638
629	1.45856835
630	1.45831995
631	1.457825332
632	1.457086707
633	1.457059431
634	1.456914172
635	1.456886938
636	1.456760011
637	1.456589226
638	1.456516867
639	1.456187784
640	1.456104701
641	1.456046719
642	1.45579347
643	1.455491873
644	1.455373217
645	1.455170162
646	1.455146165
647	1.455007035
648	1.454745558
649	1.454696104
650	1.454569449
651	1.454216127
652	1.454094841
653	1.453971748
654	1.453827905
655	1.45369623
656	1.453552116
657	1.452938912
658	1.45282529
659	1.452807772
660	1.452642415
661	1.452548871
662	1.452315705
663	1.452151573
664	1.452084859
665	1.451753561
666	1.451555137
667	1.451468613
668	1.450706726
669	1.450507825
670	1.45039095
671	1.450285591
672	1.449359256
673	1.44931056
674	1.449218416
675	1.449006059
676	1.44850015
677	1.448460287
678	1.448367282
679	1.448327048
680	1.447983923
681	1.447944437
682	1.44768025
683	1.447111376
684	1.447036938
685	1.446998844
686	1.446911119
687	1.446778923
688	1.446329192
689	1.44629092
690	1.44610249
691	1.44600278
692	1.445980687
693	1.445874403
694	1.445750765
695	1.445660934
696	1.445626894
697	1.445493282
698	1.445395578
699	1.445168738
700	1.445045489
701	1.444996143
702	1.44497561
703	1.444918976
704	1.444732205
705	1.444564949
706	1.444401534
707	1.444368453
708	1.444190599
709	1.444141055
710	1.444017735
711	1.443705388
712	1.443669728
713	1.443577153
714	1.443444181
715	1.44327056
716	1.443081471
717	1.442950574
718	1.442924198
719	1.442898593
720	1.442849613
721	1.442802652
722	1.442676435
723	1.44261468
724	1.442592307
725	1.442572348
726	1.442485485
727	1.442412075
728	1.442305108
729	1.442178022
730	1.442114897
731	1.442085081
732	1.442059108
733	1.441737382
734	1.44168889
735	1.441631359
736	1.441565736
737	1.441506813
738	1.441453911
739	1.441422794
740	1.441370697
741	1.441330722
742	1.441277549
743	1.441235863
744	1.441213976
745	1.441191339
746	1.441112571
747	1.440788639
748	1.440769073
749	1.4407222
750	1.440696141
751	1.440659012
752	1.440582197
753	1.440442446
754	1.440299358
755	1.44019575
756	1.440141303
757	1.440122276
758	1.439858431
759	1.439838787
760	1.439797503
761	1.439727165
762	1.439650979
763	1.439579379
764	1.439080527
765	1.438516387
766	1.438323975
767	1.438259769
768	1.438183677
769	1.438168752
770	1.438136799
771	1.438093238
772	1.437937337
773	1.437860722
774	1.437809993
775	1.437793906
776	1.437703103
777	1.437594695
778	1.437532819
779	1.437380957
780	1.437187298
781	1.437030209
782	1.436967294
783	1.436870854
784	1.436850732
785	1.436671952
786	1.436454176
787	1.436121624
788	1.435949285
789	1.435924637
790	1.43530435
791	1.435032202
792	1.434610353
793	1.434403971
794	1.434250868
795	1.434051522
796	1.433994324
797	1.433920535
798	1.433719627
799	1.433520042
800	1.433405752
801	1.433072742
802	1.433058687
803	1.432771268
804	1.432668277
805	1.432412059
806	1.432363836
807	1.432249144
808	1.431964965
809	1.431702631
810	1.43121659
811	1.43098998
812	1.430833683
813	1.430509895
814	1.430404335
815	1.430225924
816	1.430206329
817	1.430061719
818	1.429954853
819	1.429922806
820	1.429637849
821	1.429574524
822	1.429350317
823	1.429217331
824	1.428987085
825	1.428889729
826	1.428839514
827	1.428386818
828	1.428291568
829	1.428156917
830	1.428099558
831	1.428029694
832	1.427866398
833	1.427416092
834	1.426939976
835	1.426696732
836	1.426024414
837	1.425623744
838	1.425482736
839	1.42537218
840	1.425330016
841	1.4252369
842	1.424913658
843	1.424898565
844	1.424745099
845	1.424499809
846	1.424405688
847	1.424277116
848	1.424147903
849	1.423986438
850	1.42381788
851	1.423791135
852	1.42377012
853	1.423723685
854	1.423512718
855	1.422708543
856	1.42247387
857	1.422415733
858	1.422314919
859	1.422300226
860	1.422279441
861	1.422223065
862	1.422196537
863	1.422183716
864	1.4220111
865	1.42188468
866	1.421725925
867	1.42167974
868	1.421565531
869	1.421240981
870	1.421154226
871	1.421088261
872	1.421028546
873	1.420861814
874	1.420841391
875	1.420782954
876	1.420757877
877	1.419890385
878	1.419746447
879	1.419703396
880	1.419528151
881	1.419424497
882	1.419322442
883	1.419246438
884	1.419055669
885	1.419026826
886	1.418925843
887	1.418799722
888	1.41874211
889	1.418668684
890	1.418369221
891	1.418315038
892	1.41800276
893	1.417983256
894	1.417841378
895	1.417826542
896	1.417811095
897	1.417785271
898	1.417723458
899	1.417583696
900	1.417497441
901	1.417432509
902	1.417391482
903	1.417340252
904	1.417217887
905	1.417187655
906	1.4170236
907	1.417000373
908	1.416912384
909	1.416856668
910	1.41675191
911	1.416563128
912	1.416531535
913	1.416353682
914	1.416230267
915	1.41619003
916	1.415996247
917	1.415965119
918	1.415937222
919	1.415861421
920	1.415850103
921	1.415444779
922	1.415379193
923	1.415364361
924	1.415148075
925	1.414935285
926	1.414882732
927	1.414758503
928	1.414553431
929	1.414458044
930	1.414319251
931	1.414118308
932	1.414077772
933	1.413815988
934	1.413747268
935	1.413340948
936	1.413303228
937	1.413094273
938	1.413024231
939	1.412926773
940	1.412579625
941	1.412394831
942	1.412359112
943	1.41210425
944	1.412068363
945	1.412055331
946	1.412004058
947	1.411865859
948	1.411808988
949	1.411630561
950	1.411493292
951	1.41145355
952	1.411189838
953	1.411118221
954	1.41060877
955	1.41059776
956	1.410519426
957	1.410434194
958	1.41035671
959	1.410259787
960	1.410242815
961	1.40957919
962	1.409326438
963	1.409029068
964	1.408992872
965	1.408986975
966	1.408969699
967	1.408824643
968	1.408777555
969	1.408729735
970	1.408697439
971	1.408647854
972	1.408617428
973	1.408453005
974	1.408382864
975	1.408345469
976	1.408326257
977	1.408217236
978	1.40807932
979	1.40804886
980	1.408013849
981	1.407657077
982	1.407535435
983	1.407403378
984	1.407143547
985	1.406739847
986	1.406678941
987	1.40642778
988	1.406370045
989	1.406324691
990	1.406217836
991	1.406132071
992	1.406106463
993	1.405845559
994	1.405806126
995	1.405762867
996	1.405647711
997	1.405505967
998	1.405385844
999	1.4050867
1000	1.405048896
1001	1.404786524
1002	1.404729331
1003	1.404633756
1004	1.404413422
1005	1.404321731
1006	1.404254844
1007	1.404147643
1008	1.404137492
1009	1.40411243
1010	1.404090571
1011	1.404032072
1012	1.403946505
1013	1.403936952
1014	1.40389639
1015	1.403869368
1016	1.403829185
1017	1.403810713
1018	1.403685815
1019	1.403594456
1020	1.403453306
1021	1.403181516
1022	1.402985811
1023	1.402903436
1024	1.402864855
1025	1.40246641
1026	1.402423754
1027	1.402385998
1028	1.40229943
1029	1.402261102
1030	1.402187532
1031	1.401912975
1032	1.401564975
1033	1.401511442
1034	1.40145102
1035	1.401314669
1036	1.401278856
1037	1.401263378
1038	1.401237254
1039	1.401119767
1040	1.401093887
1041	1.400961839
1042	1.400849149
1043	1.400838803
1044	1.400811961
1045	1.400678287
1046	1.400432917
1047	1.400319129
1048	1.400185889
1049	1.399944921
1050	1.399926446
1051	1.399898394
1052	1.399818316
1053	1.399733863
1054	1.399701416
1055	1.399543805
1056	1.399313032
1057	1.399260238
1058	1.398812742
1059	1.398698654
1060	1.398222783
1061	1.397875085
1062	1.397627409
1063	1.39753047
1064	1.39744587
1065	1.397267772
1066	1.396767015
1067	1.396737864
1068	1.396656579
1069	1.396599821
1070	1.396449187
1071	1.396416051
1072	1.396331033
1073	1.39626578
1074	1.395871942
1075	1.395774945
1076	1.395761417
1077	1.395729038
1078	1.395578535
1079	1.395467833
1080	1.395402997
1081	1.395357255
1082	1.395347905
1083	1.395315199
1084	1.395246437
1085	1.395183439
1086	1.395104105
1087	1.395049189
1088	1.394991046
1089	1.394726988
1090	1.394677358
1091	1.394613799
1092	1.394585629
1093	1.394464285
1094	1.394059673
1095	1.394046776
1096	1.393856605
1097	1.393809571
1098	1.393757442
1099	1.393714399
1100	1.393696547
1101	1.39346917
1102	1.393339605
1103	1.393206711
1104	1.393187509
1105	1.393163138
1106	1.393135155
1107	1.393124159
1108	1.392987337
1109	1.392794079
1110	1.39278448
1111	1.392734503
1112	1.39268935
1113	1.392596966
1114	1.39255033
1115	1.392386304
1116	1.392198687
1117	1.39197408
1118	1.391903293
1119	1.391379384
1120	1.391367236
1121	1.391352012
1122	1.391286536
1123	1.391273682
1124	1.391056929
1125	1.390986115
1126	1.390892763
1127	1.390866766
1128	1.390815463
1129	1.390763649
1130	1.39072926
1131	1.390713523
1132	1.390698846
1133	1.390683245
1134	1.390452004
1135	1.390441623
1136	1.390424489
1137	1.39020791
1138	1.390029224
1139	1.390016538
1140	1.389916087
1141	1.389872847
1142	1.389864515
1143	1.389733235
1144	1.38967021
1145	1.38964433
1146	1.38959375
1147	1.389416708
1148	1.389361511
1149	1.389311317
1150	1.389307811
1151	1.38928921
1152	1.389274811
1153	1.38919577
1154	1.389075646
1155	1.388929932
1156	1.388845247
1157	1.388835076
1158	1.388768462
1159	1.388696942
1160	1.388680795
1161	1.388668888
1162	1.388613
1163	1.388353011
1164	1.388310767
1165	1.387972406
1166	1.387240174
1167	1.386993146
1168	1.386937473
1169	1.38687896
1170	1.386780028
1171	1.386753548
1172	1.386691178
1173	1.386484296
1174	1.386438448
1175	1.386227147
1176	1.386206306
1177	1.386142101
1178	1.385943369
1179	1.385922024
1180	1.385917674
1181	1.385904919
1182	1.385889976
1183	1.385859305
1184	1.385828683
1185	1.385818369
1186	1.385792027
1187	1.385551885
1188	1.385442338
1189	1.385302552
1190	1.385201605
1191	1.385085409
1192	1.385043325
1193	1.384994857
1194	1.38477619
1195	1.384508683
1196	1.384499236
1197	1.384455113
1198	1.384345975
1199	1.384169414
1200	1.384135023
1201	1.384055822
1202	1.383734306
1203	1.383427159
1204	1.383319399
1205	1.383242346
1206	1.383228054
1207	1.383192218
1208	1.383168666
1209	1.38313937
1210	1.38303605
1211	1.383019361
1212	1.382879532
1213	1.38287359
1214	1.382861192
1215	1.382816205
1216	1.382505738
1217	1.382490975
1218	1.382414829
1219	1.382340178
1220	1.381879512
1221	1.381808013
1222	1.381668682
1223	1.381563563
1224	1.381532106
1225	1.381295931
1226	1.381260473
1227	1.381191635
1228	1.381166025
1229	1.380987152
1230	1.380965717
1231	1.380887263
1232	1.380856108
1233	1.380637432
1234	1.380569689
1235	1.380565193
1236	1.380495441
1237	1.380461019
1238	1.380449786
1239	1.38043414
1240	1.380108189
1241	1.379953968
1242	1.379868693
1243	1.379750039
1244	1.37957196
1245	1.37955655
1246	1.379295291
1247	1.379242634
1248	1.379148577
1249	1.378980056
1250	1.378954002
1251	1.378938595
1252	1.37890703
1253	1.378880281
1254	1.378781033
1255	1.378772673
1256	1.378723853
1257	1.378400579
1258	1.378388812
1259	1.378350926
1260	1.378188248
1261	1.37803786
1262	1.377867998
1263	1.377828936
1264	1.377821126
1265	1.377543372
1266	1.377332682
1267	1.377258789
1268	1.377171985
1269	1.377112933
1270	1.377107787
1271	1.37680886
1272	1.376789874
1273	1.376573212
1274	1.376555588
1275	1.376501448
1276	1.376391481
1277	1.376364264
1278	1.376360739
1279	1.376304115
1280	1.376226052
1281	1.376143762
1282	1.376099985
1283	1.376022898
1284	1.375985905
1285	1.375958682
1286	1.375942749
1287	1.37592285
1288	1.375909929
1289	1.375895069
1290	1.375862504
1291	1.375812234
1292	1.375728851
1293	1.375705778
1294	1.375506384
1295	1.375312387
1296	1.375277467
1297	1.375235093
1298	1.37521377
1299	1.375206054
1300	1.37504814
1301	1.375018826
1302	1.374642892
1303	1.374435018
1304	1.374388755
1305	1.3742313
1306	1.374179595
1307	1.374151301
1308	1.374142937
1309	1.374077848
1310	1.373908596
1311	1.373897899
1312	1.373863257
1313	1.37371784
1314	1.373612611
1315	1.373598005
1316	1.373471582
1317	1.373439482
1318	1.373420361
1319	1.373340187
1320	1.373222306
1321	1.373198602
1322	1.373090273
1323	1.373073665
1324	1.372982228
1325	1.372830072
1326	1.372680312
1327	1.372642954
1328	1.372610444
1329	1.372365049
1330	1.372117761
1331	1.371985424
1332	1.371968063
1333	1.371869792
1334	1.371728414
1335	1.371712302
1336	1.371707674
1337	1.371704748
1338	1.371553913
1339	1.371504171
1340	1.371419678
1341	1.371392347
1342	1.371306402
1343	1.371083274
1344	1.371069841
1345	1.371019359
1346	1.370862678
1347	1.370409653
1348	1.370274161
1349	1.370248809
1350	1.369931703
1351	1.369802896
1352	1.36977396
1353	1.369588698
1354	1.369553811
1355	1.36954032
1356	1.369529576
1357	1.369489876
1358	1.369444509
1359	1.369369491
1360	1.369245815
1361	1.36922795
1362	1.36876506
1363	1.368387362
1364	1.368369071
1365	1.368117331
1366	1.368083692
1367	1.368052594
1368	1.367977769
1369	1.367745849
1370	1.367513263
1371	1.367355685
1372	1.36728646
1373	1.36712467
1374	1.367072238
1375	1.366906766
1376	1.366809965
1377	1.366770376
1378	1.366721782
1379	1.366606185
1380	1.366552143
1381	1.366277596
1382	1.366225861
1383	1.366104951
1384	1.36593587
1385	1.365919868
1386	1.365917665
1387	1.365738781
1388	1.365590969
1389	1.365472748
1390	1.365377261
1391	1.365321164
1392	1.36530737
1393	1.365210085
1394	1.365099599
1395	1.364897612
1396	1.364749892
1397	1.364670898
1398	1.364427988
1399	1.364423679
1400	1.364417868
1401	1.364228971
1402	1.364165866
1403	1.364123428
1404	1.363881193
1405	1.363684668
1406	1.363622568
1407	1.363451052
1408	1.363412759
1409	1.363399681
1410	1.363369711
1411	1.363313929
1412	1.363071891
1413	1.363048759
1414	1.362795281
1415	1.362670507
1416	1.362468627
1417	1.362337329
1418	1.362317081
1419	1.362197362
1420	1.362129675
1421	1.362036513
1422	1.362025598
1423	1.361995972
1424	1.361973672
1425	1.361947922
1426	1.361778701
1427	1.361742831
1428	1.361732179
1429	1.36158547
1430	1.361510201
1431	1.361180607
1432	1.361158349
1433	1.36107722
1434	1.361062617
1435	1.361039988
1436	1.361017963
1437	1.361000178
1438	1.360956532
1439	1.360926091
1440	1.360857231
1441	1.36077591
1442	1.360612596
1443	1.360582319
1444	1.36054039
1445	1.360413852
1446	1.360338793
1447	1.360334788
1448	1.360235277
1449	1.360134586
1450	1.360080687
1451	1.359897962
1452	1.359793825
1453	1.359728405
1454	1.359623676
1455	1.359610166
1456	1.359594431
1457	1.35946462
1458	1.359259026
1459	1.359129159
1460	1.359097837
1461	1.359073299
1462	1.358979808
1463	1.358850245
1464	1.358589623
1465	1.358354881
1466	1.358133989
1467	1.357924826
1468	1.357864657
1469	1.357755555
1470	1.35774695
1471	1.357680773
1472	1.357667943
1473	1.357520063
1474	1.357502378
1475	1.357369824
1476	1.357349626
1477	1.35733112
1478	1.357255729
1479	1.357129761
1480	1.357113139
1481	1.357077284
1482	1.356863634
1483	1.356854737
1484	1.356658218
1485	1.356643967
1486	1.356633625
1487	1.356620002
1488	1.356434342
1489	1.356406379
1490	1.35638807
1491	1.356232574
1492	1.355971165
1493	1.355829149
1494	1.355817516
1495	1.355691553
1496	1.355686275
1497	1.355530013
1498	1.355482175
1499	1.355414671
